frame,timestamp_s,timestamp_unix,player_id,X,Y,cam,on_terrain
0,0.000,1780168743,1,278,229,gauche,1
0,0.000,1780168743,2,140,238,gauche,1
0,0.000,1780168743,3,104,108,gauche,1
0,0.000,1780168743,4,330,144,gauche,1
0,0.000,1780168743,5,-34,375,gauche,0
0,0.000,1780168743,6,89,-30,gauche,0
0,0.000,1780168743,7,165,-23,gauche,0
0,0.000,1780168743,8,146,-27,gauche,0
0,0.000,1780168743,9,118,-1,gauche,0
0,0.000,1780168743,10,297,6,gauche,1
0,0.000,1780168743,11,191,-45,gauche,0
0,0.000,1780168743,12,179,3,gauche,1
0,0.000,1780168743,13,40,-56,gauche,0
0,0.000,1780168743,1,41,567,droite,1
0,0.000,1780168743,2,134,512,droite,1
0,0.000,1780168743,3,268,618,droite,1
0,0.000,1780168743,4,-35,336,droite,0
1,0.033,1780168743,1,278,229,gauche,1
1,0.033,1780168743,2,140,238,gauche,1
1,0.033,1780168743,3,104,108,gauche,1
1,0.033,1780168743,4,330,144,gauche,1
1,0.033,1780168743,5,-34,375,gauche,0
1,0.033,1780168743,6,89,-30,gauche,0
1,0.033,1780168743,7,165,-23,gauche,0
1,0.033,1780168743,8,146,-27,gauche,0
1,0.033,1780168743,9,118,-1,gauche,0
1,0.033,1780168743,10,297,6,gauche,1
1,0.033,1780168743,11,191,-45,gauche,0
1,0.033,1780168743,13,40,-56,gauche,0
1,0.033,1780168743,12,179,3,gauche,1
1,0.033,1780168743,1,41,567,droite,1
1,0.033,1780168743,2,134,511,droite,1
1,0.033,1780168743,3,268,618,droite,1
1,0.033,1780168743,4,-35,336,droite,0
2,0.067,1780168743,2,140,237,gauche,1
2,0.067,1780168743,1,279,229,gauche,1
2,0.067,1780168743,3,104,108,gauche,1
2,0.067,1780168743,4,331,145,gauche,1
2,0.067,1780168743,6,89,-30,gauche,0
2,0.067,1780168743,9,118,-1,gauche,0
2,0.067,1780168743,7,165,-23,gauche,0
2,0.067,1780168743,8,146,-27,gauche,0
2,0.067,1780168743,5,-35,375,gauche,0
2,0.067,1780168743,10,298,6,gauche,1
2,0.067,1780168743,12,178,4,gauche,1
2,0.067,1780168743,13,40,-55,gauche,0
2,0.067,1780168743,11,190,-46,gauche,0
2,0.067,1780168743,1,42,567,droite,1
2,0.067,1780168743,2,136,511,droite,1
2,0.067,1780168743,3,267,620,droite,1
2,0.067,1780168743,4,-35,336,droite,0
2,0.067,1780168743,5,-114,450,droite,0
3,0.100,1780168743,1,279,229,gauche,1
3,0.100,1780168743,2,140,237,gauche,1
3,0.100,1780168743,3,104,108,gauche,1
3,0.100,1780168743,4,331,144,gauche,1
3,0.100,1780168743,5,-35,375,gauche,0
3,0.100,1780168743,6,89,-30,gauche,0
3,0.100,1780168743,9,118,-1,gauche,0
3,0.100,1780168743,7,165,-23,gauche,0
3,0.100,1780168743,8,146,-27,gauche,0
3,0.100,1780168743,10,298,5,gauche,1
3,0.100,1780168743,12,177,3,gauche,1
3,0.100,1780168743,11,190,-46,gauche,0
3,0.100,1780168743,13,40,-55,gauche,0
3,0.100,1780168743,1,42,568,droite,1
3,0.100,1780168743,2,137,511,droite,1
3,0.100,1780168743,3,266,625,droite,1
3,0.100,1780168743,4,-34,336,droite,0
3,0.100,1780168743,5,-114,450,droite,0
4,0.133,1780168743,1,280,228,gauche,1
4,0.133,1780168743,2,141,237,gauche,1
4,0.133,1780168743,3,104,108,gauche,1
4,0.133,1780168743,4,331,143,gauche,1
4,0.133,1780168743,5,-35,375,gauche,0
4,0.133,1780168743,9,117,-1,gauche,0
4,0.133,1780168743,7,166,-23,gauche,0
4,0.133,1780168743,6,88,-33,gauche,0
4,0.133,1780168743,8,146,-27,gauche,0
4,0.133,1780168743,10,299,5,gauche,1
4,0.133,1780168743,11,189,-45,gauche,0
4,0.133,1780168743,13,39,-55,gauche,0
4,0.133,1780168743,12,176,4,gauche,1
4,0.133,1780168743,2,138,511,droite,1
4,0.133,1780168743,1,42,567,droite,1
4,0.133,1780168743,3,270,631,droite,1
4,0.133,1780168743,4,-34,337,droite,0
4,0.133,1780168743,5,-114,450,droite,0
5,0.167,1780168743,2,143,237,gauche,1
5,0.167,1780168743,1,282,228,gauche,1
5,0.167,1780168743,5,-35,375,gauche,0
5,0.167,1780168743,4,332,141,gauche,1
5,0.167,1780168743,3,104,108,gauche,1
5,0.167,1780168743,9,118,-1,gauche,0
5,0.167,1780168743,8,146,-27,gauche,0
5,0.167,1780168743,7,166,-23,gauche,0
5,0.167,1780168743,6,89,-30,gauche,0
5,0.167,1780168743,10,300,5,gauche,1
5,0.167,1780168743,11,189,-45,gauche,0
5,0.167,1780168743,12,175,3,gauche,1
5,0.167,1780168743,1,43,567,droite,1
5,0.167,1780168743,2,138,511,droite,1
5,0.167,1780168743,3,269,636,droite,1
5,0.167,1780168743,4,-34,337,droite,0
6,0.200,1780168743,2,144,237,gauche,1
6,0.200,1780168743,5,-35,375,gauche,0
6,0.200,1780168743,1,285,226,gauche,1
6,0.200,1780168743,3,104,108,gauche,1
6,0.200,1780168743,4,332,138,gauche,1
6,0.200,1780168743,9,118,-1,gauche,0
6,0.200,1780168743,8,146,-27,gauche,0
6,0.200,1780168743,10,300,6,gauche,1
6,0.200,1780168743,6,89,-30,gauche,0
6,0.200,1780168743,13,99,-11,gauche,0
6,0.200,1780168743,7,165,-24,gauche,0
6,0.200,1780168743,12,175,4,gauche,1
6,0.200,1780168743,11,189,-45,gauche,0
6,0.200,1780168743,2,139,511,droite,1
6,0.200,1780168743,1,43,567,droite,1
6,0.200,1780168743,3,269,643,droite,1
6,0.200,1780168743,4,-34,340,droite,0
6,0.200,1780168743,6,367,634,droite,1
7,0.233,1780168743,2,144,237,gauche,1
7,0.233,1780168743,5,-35,375,gauche,0
7,0.233,1780168743,1,285,226,gauche,1
7,0.233,1780168743,3,104,108,gauche,1
7,0.233,1780168743,4,332,138,gauche,1
7,0.233,1780168743,9,118,-1,gauche,0
7,0.233,1780168743,8,146,-27,gauche,0
7,0.233,1780168743,10,300,6,gauche,1
7,0.233,1780168743,6,89,-30,gauche,0
7,0.233,1780168743,13,99,-11,gauche,0
7,0.233,1780168743,7,165,-24,gauche,0
7,0.233,1780168743,12,175,4,gauche,1
7,0.233,1780168743,11,189,-45,gauche,0
7,0.233,1780168743,2,139,511,droite,1
7,0.233,1780168743,1,43,567,droite,1
7,0.233,1780168743,3,269,643,droite,1
7,0.233,1780168743,4,-34,340,droite,0
7,0.233,1780168743,6,367,634,droite,1
8,0.267,1780168743,1,285,225,gauche,1
8,0.267,1780168743,5,-36,375,gauche,0
8,0.267,1780168743,3,104,107,gauche,1
8,0.267,1780168743,4,334,133,gauche,1
8,0.267,1780168743,2,145,237,gauche,1
8,0.267,1780168743,9,118,-1,gauche,0
8,0.267,1780168743,8,146,-27,gauche,0
8,0.267,1780168743,14,139,237,gauche,1
8,0.267,1780168743,10,301,6,gauche,1
8,0.267,1780168743,13,99,-8,gauche,0
8,0.267,1780168743,11,189,-45,gauche,0
8,0.267,1780168743,6,88,-32,gauche,0
8,0.267,1780168743,1,43,567,droite,1
8,0.267,1780168743,2,141,516,droite,1
8,0.267,1780168743,6,367,634,droite,1
8,0.267,1780168743,3,268,648,droite,1
8,0.267,1780168743,4,-36,346,droite,0
8,0.267,1780168743,5,-119,778,droite,0
9,0.300,1780168743,1,289,221,gauche,1
9,0.300,1780168743,3,105,106,gauche,1
9,0.300,1780168743,5,-36,375,gauche,0
9,0.300,1780168743,4,335,130,gauche,1
9,0.300,1780168743,9,118,-1,gauche,0
9,0.300,1780168743,2,146,237,gauche,1
9,0.300,1780168743,8,146,-27,gauche,0
9,0.300,1780168743,14,141,237,gauche,1
9,0.300,1780168743,13,98,-5,gauche,0
9,0.300,1780168743,10,303,6,gauche,1
9,0.300,1780168743,11,188,-45,gauche,0
9,0.300,1780168743,12,172,5,gauche,1
9,0.300,1780168743,2,141,513,droite,1
9,0.300,1780168743,1,43,567,droite,1
9,0.300,1780168743,3,264,649,droite,1
9,0.300,1780168743,4,-32,338,droite,0
9,0.300,1780168743,6,366,634,droite,1
10,0.333,1780168743,1,290,217,gauche,1
10,0.333,1780168743,5,-36,375,gauche,0
10,0.333,1780168743,3,105,105,gauche,1
10,0.333,1780168743,4,336,127,gauche,1
10,0.333,1780168743,9,118,-1,gauche,0
10,0.333,1780168743,8,146,-27,gauche,0
10,0.333,1780168743,2,146,237,gauche,1
10,0.333,1780168743,14,141,237,gauche,1
10,0.333,1780168743,13,97,-5,gauche,0
10,0.333,1780168743,10,304,6,gauche,1
10,0.333,1780168743,11,188,-45,gauche,0
10,0.333,1780168743,12,171,5,gauche,1
10,0.333,1780168743,1,43,567,droite,1
10,0.333,1780168743,2,144,518,droite,1
10,0.333,1780168743,4,-31,338,droite,0
10,0.333,1780168743,3,259,647,droite,1
10,0.333,1780168743,6,365,633,droite,1
11,0.367,1780168743,1,290,215,gauche,1
11,0.367,1780168743,3,105,103,gauche,1
11,0.367,1780168743,5,-36,375,gauche,0
11,0.367,1780168743,4,336,126,gauche,1
11,0.367,1780168743,9,118,-1,gauche,0
11,0.367,1780168743,2,146,236,gauche,1
11,0.367,1780168743,8,146,-27,gauche,0
11,0.367,1780168743,14,138,236,gauche,1
11,0.367,1780168743,12,169,5,gauche,1
11,0.367,1780168743,10,305,6,gauche,1
11,0.367,1780168743,11,188,-46,gauche,0
11,0.367,1780168743,13,96,-5,gauche,0
11,0.367,1780168743,1,43,568,droite,1
11,0.367,1780168743,2,146,518,droite,1
11,0.367,1780168743,3,257,650,droite,1
11,0.367,1780168743,6,362,625,droite,1
11,0.367,1780168743,4,-31,338,droite,0
12,0.400,1780168743,1,289,215,gauche,1
12,0.400,1780168743,3,105,102,gauche,1
12,0.400,1780168743,4,336,126,gauche,1
12,0.400,1780168743,5,-36,375,gauche,0
12,0.400,1780168743,9,118,-1,gauche,0
12,0.400,1780168743,8,146,-27,gauche,0
12,0.400,1780168743,2,146,236,gauche,1
12,0.400,1780168743,14,140,236,gauche,1
12,0.400,1780168743,11,188,-45,gauche,0
12,0.400,1780168743,12,167,4,gauche,1
12,0.400,1780168743,13,95,-5,gauche,0
12,0.400,1780168743,2,150,519,droite,1
12,0.400,1780168743,4,-31,339,droite,0
12,0.400,1780168743,1,43,567,droite,1
12,0.400,1780168743,6,360,617,droite,1
12,0.400,1780168743,3,255,651,droite,1
13,0.433,1780168743,1,289,215,gauche,1
13,0.433,1780168743,3,105,102,gauche,1
13,0.433,1780168743,4,336,126,gauche,1
13,0.433,1780168743,5,-36,375,gauche,0
13,0.433,1780168743,9,118,-1,gauche,0
13,0.433,1780168743,8,146,-27,gauche,0
13,0.433,1780168743,14,139,236,gauche,1
13,0.433,1780168743,2,146,236,gauche,1
13,0.433,1780168743,11,188,-45,gauche,0
13,0.433,1780168743,12,167,4,gauche,1
13,0.433,1780168743,13,95,-5,gauche,0
13,0.433,1780168743,2,150,519,droite,1
13,0.433,1780168743,4,-31,339,droite,0
13,0.433,1780168743,1,43,567,droite,1
13,0.433,1780168743,6,360,617,droite,1
13,0.433,1780168743,3,255,651,droite,1
14,0.467,1780168743,1,289,216,gauche,1
14,0.467,1780168743,4,337,126,gauche,1
14,0.467,1780168743,3,105,100,gauche,1
14,0.467,1780168743,9,118,-1,gauche,0
14,0.467,1780168743,5,-37,376,gauche,0
14,0.467,1780168743,8,146,-27,gauche,0
14,0.467,1780168743,14,141,236,gauche,1
14,0.467,1780168743,2,147,236,gauche,1
14,0.467,1780168743,13,93,-4,gauche,0
14,0.467,1780168743,11,188,-45,gauche,0
14,0.467,1780168743,12,165,4,gauche,1
14,0.467,1780168743,2,151,519,droite,1
14,0.467,1780168743,4,-31,341,droite,0
14,0.467,1780168743,1,43,567,droite,1
14,0.467,1780168743,6,358,612,droite,1
14,0.467,1780168743,3,253,668,droite,1
15,0.500,1780168743,1,289,214,gauche,1
15,0.500,1780168743,2,148,236,gauche,1
